工具名称,工具作者,他山评分,实用性评分,可持续性评分,受欢迎度评分,可用工具数量,github_url
认知增强 MCP 服务器,waldzellai,67.54,67.5,78,57.18,1,https://github.com/peragus-dev/model-enhancement-servers
Crawl-MCP 服务器,wutongci,67.04,80.0,38,57.18,2,https://github.com/wutongci/crawl-mcp
PM-MCP（进程管理器 MCP）,patrickjm,66.94,87.5,15,57.18,8,https://github.com/patrickjm/pm-mcp
mcp-screenshot-website-fast,just-every,66.94,72.5,60,57.18,3,https://github.com/just-every/mcp-screenshot-website-fast
Sequential Thinking MCP Server,Swan-and-Co-Innovations,66.94,87.5,15,57.18,1,https://github.com/Swan-and-Co-Innovations/MCP
mcp-servers,HakanUcaar,66.94,87.5,15,57.18,1,https://github.com/HakanUcaar/mcp-servers
MCP 测试项目,tanliulei,66.94,87.5,15,57.18,21,https://github.com/tanliulei/mcp-test
Chess FEN MCP Server,bigsy,66.94,87.5,15,57.18,1,https://github.com/Bigsy/chess-FEN-mcp
腾讯云代码分析（TCA）MCP 服务器,TCATools,66.94,87.5,15,57.18,5,https://github.com/TCATools/tca-mcp-server
vv-mcp,arrow2nd,66.94,82.5,30,57.18,4,https://github.com/arrow2nd/vv-mcp
Untun MCP - 本地服务器的安全隧道,Oliver Montes,66.74,87.5,14,57.18,3,https://github.com/minte-app/untun-mcp
Crypto Exchange SDK Documentation MCP,flytam,66.64,75.0,51,57.18,12,https://github.com/flytam/exchange-sdk-mcp
Image Tools MCP,kshern,66.24,80.0,34,57.18,2,https://github.com/kshern/image-tools-mcp
MCP Server Kubernetes,Flux159,66.1,52.5,85,87.98,22,https://github.com/Flux159/mcp-server-kubernetes
__ 趋势中心,baranwang,65.64,75.0,31,72.2,21,https://github.com/baranwang/mcp-trends-hub
mcp-server-diff-typescript MCP 服务器,tatn,65.44,80.0,30,57.18,1,https://github.com/tatn/mcp-server-diff-typescript
ENS MCP 服务器,JustaName-id,65.34,87.5,7,57.18,8,https://github.com/JustaName-id/ens-mcp-server
Noves MCP 服务器,noves,64.94,77.5,35,57.18,9,https://github.com/Noves-Inc/noves-mcp
Pega DX MCP Server,MarcoLooy,64.94,62.5,80,57.18,63,https://github.com/marco-looy/pega-dx-mcp
Vuetify MCP,vuetifyjs,64.94,72.5,50,57.18,9,https://github.com/vuetifyjs/mcp
CRAN 包 README MCP 服务器,elchika-inc,64.94,77.5,35,57.18,3,https://github.com/elchika-inc/cran-package-readme-mcp-server
mcp-knowledge-graph,shaneholloman,64.77,72.5,22,84.33,9,https://github.com/shaneholloman/mcp-knowledge-graph
mcp-memory-libsql,spences10,64.74,82.5,19,57.18,6,https://github.com/joleyline/mcp-memory-libsql
网站转 Markdown MCP 服务器,your-username,64.54,87.5,3,57.18,12,https://github.com/SunZhi-Will/website-to-markdown-mcp
Folderr MCP 服务器,folderr-tech,64.54,87.5,3,57.18,7,https://github.com/folderr-tech/folderr-mcp-server
@orbit-logistics/notion-mcp-server,orbit-logistics,64.54,87.5,3,57.18,21,https://github.com/orbit-logistics/notion-mcp-server
Whois MCP,modelcontextprotocol-servers,64.54,87.5,3,57.18,4,https://github.com/modelcontextprotocol-servers/whois-mcp
Notion MCP 服务器,makenotion,64.43,62.5,42,92.67,19,https://github.com/makenotion/notion-mcp-server
MCP Firebird,PuroDelphi,64.14,72.5,46,57.18,16,https://github.com/PuroDelphi/mcpFirebird
Deep Directory Tree MCP,andredezzy,64.04,80.0,23,57.18,1,https://github.com/andredezzy/deep-directory-tree-mcp
NotifyMeMaybe,keoy7am,63.94,82.5,15,57.18,15,https://github.com/keoy7am/NotifyMeMaybe
通胜 MCP 服务,baranwang,63.74,82.5,14,57.18,1,https://github.com/baranwang/mcp-tung-shing
pickapicon-mcp,Leee62,63.74,82.5,14,57.18,3,https://github.com/Leee62/pickapicon-mcp
mcp-server-fetch-typescript MCP 服务器,tatn,63.74,82.5,14,57.18,4,https://github.com/tatn/mcp-server-fetch-typescript
Playwright MCP 服务器,ExecuteAutomation,63.63,62.5,38,92.67,32,https://github.com/executeautomation/mcp-playwright
Cargo Package README MCP 服务器,elchika-inc,63.44,75.0,35,57.18,3,https://github.com/elchika-inc/cargo-package-readme-mcp-server
NuGet 包 README MCP 服务器,elchika-inc,63.44,75.0,35,57.18,3,https://github.com/elchika-inc/nuget-package-readme-mcp-server
Helm 包 README MCP 服务器,elchika-inc,63.44,75.0,35,57.18,3,https://github.com/elchika-inc/helm-package-readme-mcp-server
pip 包 README MCP 服务器,elchika-inc,63.44,75.0,35,57.18,3,https://github.com/elchika-inc/pip-package-readme-mcp-server
MCP Hello World - MCP服务器模拟测试,lobehub,63.24,80.0,19,57.18,3,https://github.com/lobehub/mcp-hello-world
Currents MCP 服务器,currents-dev,63.24,75.0,34,57.18,3,https://github.com/currents-dev/currents-mcp
Gemini MCP 工具,jamubc,63.07,55.0,66,84.33,6,https://github.com/jamubc/gemini-mcp-tool
ElevenLabs MCP 服务器,elevenlabs,62.5,67.5,22,87.98,0,https://github.com/elevenlabs/elevenlabs-mcp
MCP 加密货币价格追踪服务器,deerajd,62.44,80.0,15,57.18,1,https://github.com/deerajd/CryptoPriceTracker-MCP
PRD 创建器 MCP 服务器,Saml1211,62.34,82.5,7,57.18,21,https://github.com/Saml1211/PRD-MCP-Server
ESA MCP 服务器,aliyun,62.14,62.5,66,57.18,42,https://github.com/aliyun/mcp-server-esa
Siri Shortcuts MCP 服务器,dvcrn,61.94,62.5,50,72.2,3,https://github.com/dvcrn/mcp-server-siri-shortcuts
WebP 转换 MCP 服务器,xoy8n,61.74,77.5,19,57.18,2,https://github.com/xoy8n/webp-converter
模型上下文协议（MCP）,gibsonai,61.64,75.0,26,57.18,0,https://github.com/GibsonAI/mcp
全能 MCP 服务器,dazeb,61.54,82.5,3,57.18,11,https://github.com/dazeb/mcp-everything
Tavily MCP,tavily-ai,61.5,52.5,62,87.98,4,https://github.com/tavily-ai/tavily-mcp
CircleCI MCP 服务器,CircleCI-Public,61.24,55.0,84,57.18,16,https://github.com/CircleCI-Public/mcp-server-circleci
Planfix MCP Server,popstas,61.14,57.5,76,57.18,21,https://github.com/popstas/planfix-mcp-server
Cisco Support MCP 服务器,sieteunoseis,60.94,62.5,60,57.18,13,https://github.com/sieteunoseis/mcp-cisco-support
